#{"t_start": 1543286836.1507874, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
105.0,440,69.151328
105.0,487,75.240017
60.0,288,103.890515
180.0,609,180.731463
215.0,688,266.506781
10.0,675,351.058041
215.0,481,411.620834
215.0,748,504.962785
110.0,502,567.796524
75.0,306,606.325084
195.0,601,681.02876
285.0,1070,814.959457
50.0,303,853.078869
105.0,470,912.190469
160.0,529,978.914661
130.0,473,1038.456671
110.0,358,1083.161353
300.0,693,1169.486254
150.0,422,1222.123625
210.0,664,1305.589794
270.0,871,1415.790613
485.0,811,1517.395126
210.0,726,1608.886953
260.0,580,1681.474669
150.0,673,1765.895575
330.0,859,1873.123438
115.0,480,1933.252865
385.0,701,2021.555982
445.0,644,2101.812625
90.0,343,2144.965487
110.0,478,2205.141466
180.0,636,2284.920797
70.0,501,2347.506834
210.0,620,2425.305417
225.0,499,2488.641317
190.0,494,2550.437627
195.0,797,2649.315475
165.0,508,2713.060729
315.0,922,2828.554175
185.0,729,2919.537241
245.0,530,2985.918688
130.0,448,3041.744724
160.0,489,3102.821636
95.0,332,3144.114082
220.0,698,3231.32918
225.0,604,3306.879906
340.0,837,3412.272985
165.0,578,3485.087873
180.0,634,3565.173255
140.0,608,3641.855562
305.0,712,3731.197858
70.0,260,3763.652685
205.0,537,3831.363238
155.0,497,3894.006101
445.0,1065,4028.210065
265.0,594,4103.189556
130.0,692,4190.015054
100.0,471,4249.569588
105.0,380,4296.874608
220.0,730,4388.527098
115.0,452,4445.409501
440.0,748,4538.867541
135.0,518,4603.917592
165.0,750,4697.89766
180.0,603,4772.742715
215.0,781,4871.19827
240.0,632,4949.853267
105.0,307,4988.769907
300.0,803,5089.504592
105.0,490,5150.689405
445.0,981,5273.384591
110.0,387,5321.743292
115.0,444,5376.779545
175.0,599,5452.102739
440.0,734,5543.92197
160.0,504,5606.593348
135.0,518,5670.776481
225.0,788,5769.38096
125.0,480,5829.494249
280.0,540,5897.130374
30.0,279,5932.410722
115.0,397,5982.3463
105.0,291,6018.994222
300.0,565,6089.123262
260.0,667,6172.367306
160.0,418,6224.974431
130.0,594,6299.336914
135.0,523,6364.800076
175.0,738,6456.81858
145.0,738,6549.448024
100.0,481,6609.611001
90.0,475,6668.538476
55.0,476,6728.233872
110.0,483,6789.286966
165.0,547,6858.115122
135.0,329,6899.381448
125.0,642,6979.798028
90.0,392,7028.986545
115.0,403,7080.334843
305.0,935,7197.234365
180.0,632,7276.285917
135.0,626,7354.964158
115.0,504,7418.612633
125.0,510,7482.726892
90.0,608,7559.614405
50.0,317,7599.222054
75.0,622,7677.319905
195.0,731,7769.439153
200.0,954,7889.214452
230.0,1001,8014.273441
115.0,507,8077.375152
165.0,515,8142.343563
180.0,698,8229.97351
135.0,510,8294.642716
150.0,688,8380.408504
70.0,477,8439.798155
145.0,450,8495.60605
225.0,636,8575.552295
330.0,969,8696.410803
130.0,502,8758.89725
140.0,520,8824.40111
345.0,791,8923.129937
25.0,281,8958.274758
105.0,353,9002.604109
95.0,451,9059.812181
40.0,384,9108.052679
140.0,470,9167.004058
250.0,595,9241.954717
230.0,684,9328.621114
160.0,464,9387.047133
250.0,832,9490.877386
100.0,564,9561.19075
85.0,371,9607.201363
385.0,613,9683.982597
100.0,331,9725.479667
135.0,536,9792.679476
165.0,438,9847.507911
80.0,412,9899.644491
220.0,814,10001.851321
80.0,382,10049.942774
120.0,682,10135.352595
65.0,522,10200.789377
305.0,870,10310.131618
290.0,981,10433.612651
110.0,398,10483.934622
120.0,266,10517.043993
85.0,523,10582.221743
210.0,660,10664.827208
480.0,715,10753.837654
180.0,534,10820.170171
180.0,587,10894.466667
220.0,698,10982.380537
190.0,959,11102.695525
95.0,487,11163.700048
55.0,418,11216.30468
50.0,469,11275.066587
180.0,510,11339.876002
115.0,488,11400.91052
35.0,411,11452.595693
300.0,951,11572.159596
180.0,455,11629.132659
130.0,519,11694.268455
170.0,792,11793.52728
195.0,657,11875.982453
190.0,619,11953.771873
150.0,421,12006.816204
165.0,465,12065.391508
80.0,413,12117.043326
445.0,886,12227.90537
240.0,738,12306.79386
210.0,629,12359.274314
120.0,603,12410.201087
