#{"t_start": 1543453200.1141572, "env_id": "BeamRider-ramNoFrameskip-v4"}
r,l,t
616.0,1911,28.257339
88.0,1394,53.195616
0.0,1218,73.895658
0.0,1487,99.172163
804.0,3205,153.451962
0.0,1291,175.322425
88.0,1561,202.380594
0.0,1605,228.902339
0.0,1585,254.982781
44.0,1089,273.380133
0.0,1293,294.951939
0.0,2270,332.599455
0.0,1353,355.179801
220.0,1305,377.553792
44.0,2058,412.847491
0.0,1593,439.614586
0.0,1117,458.680698
440.0,1618,485.530586
484.0,1639,512.911391
44.0,1497,538.605737
88.0,1641,567.116874
88.0,1491,593.236829
484.0,1258,614.670507
88.0,1515,640.666579
0.0,1760,669.930859
