#{"t_start": 1543455335.9178915, "env_id": "BeamRider-ramNoFrameskip-v4"}
r,l,t
132.0,894,8.21884
220.0,1091,17.733971
176.0,898,25.799492
440.0,1505,38.732739
132.0,1149,48.409334
264.0,1588,61.90117
0.0,1816,77.108364
44.0,1115,86.417857
0.0,1831,102.058435
660.0,2756,125.323057
264.0,1092,134.352381
88.0,1407,146.008133
264.0,1041,154.271147
660.0,2877,177.836688
44.0,1361,189.017163
528.0,1672,202.775965
44.0,1219,212.857367
0.0,1477,224.970227
0.0,1326,235.905533
0.0,1602,249.240738
220.0,1034,257.771587
308.0,1260,268.164669
44.0,1500,280.541786
44.0,1813,295.590877
132.0,1216,305.787718
44.0,1500,318.292426
660.0,2830,341.817535
132.0,1146,351.346095
616.0,1946,367.811334
44.0,1084,376.896653
132.0,1469,389.072738
756.0,2598,410.548313
220.0,2031,427.537267
0.0,2011,443.921
220.0,1073,452.612382
0.0,1925,468.756792
660.0,3169,494.769581
44.0,1506,507.150716
660.0,2096,524.435066
440.0,1707,538.506051
0.0,1734,552.857354
88.0,1008,561.38399
308.0,1739,575.700713
44.0,1172,585.762106
396.0,1341,596.873955
44.0,1927,612.845306
44.0,1546,625.753476
0.0,1070,634.416768
572.0,1973,650.580403
352.0,1241,660.580728
900.0,3566,690.052629
132.0,1451,701.759921
660.0,3086,726.984836
572.0,1712,740.9128
948.0,3457,768.86761
0.0,1766,783.593037
0.0,1901,799.010693
616.0,1661,810.167454
0.0,1366,817.505254
